spend_id,campaign_id,channel,platform,spend_amount,impressions,clicks,grps
73,72,Trade-Promo,Retailers,752559,1075350,27422.0,
74,55,OOH,,351601,2671011,,
75,28,Digital-Social,Instagram,285137,957801,23445.0,
76,98,Digital-Search,Google,499956,4755721,41245.0,
77,85,OOH,,80359,1563439,,
78,45,TV,,200210,4800645,,280.1
79,4,TV,,444468,3571810,,208.8
80,42,Trade-Promo,Retailers,105164,1355098,10816.0,
81,11,Digital-Search,Google,744093,3606893,32328.0,
82,28,Trade-Promo,Retailers,411939,3656376,7767.0,
83,86,Digital-Search,Google,281230,3365709,39777.0,
84,28,Digital-Social,Instagram,353507,2802489,8363.0,
85,23,Digital-Social,Instagram,608453,1980308,33285.0,
86,95,TV,,69651,3906698,,372.4
87,74,In-store,DMart,353578,1016144,27044.0,
88,80,In-store,DMart,142410,3713403,7437.0,
89,68,TV,,375346,2898043,,127.6
90,82,TV,,416346,2995238,,304.6
91,31,TV,,318402,1704835,,110.7
92,99,OOH,,536490,4778955,,
93,73,OOH,,707685,2701965,,
94,57,OOH,,338016,521205,,
95,60,In-store,Blinkit,109653,3143195,19313.0,
96,12,Trade-Promo,Retailers,535188,4918155,36827.0,
97,58,Trade-Promo,Retailers,387145,4039865,33357.0,
98,44,OOH,,579057,1497529,,
99,57,Trade-Promo,Retailers,431574,3177709,19039.0,
100,87,Trade-Promo,Retailers,711532,2857242,4819.0,
101,50,Digital-Search,Google,738457,1311422,22347.0,
102,45,Digital-Search,Google,185215,760674,20788.0,
103,43,Digital-Social,Meta,727406,3601790,33824.0,
104,24,Digital-Social,Instagram,559892,1660656,15346.0,
105,13,Trade-Promo,Retailers,744083,2874984,41003.0,
106,21,Digital-Social,Meta,508933,416518,27426.0,
107,57,Trade-Promo,Retailers,520735,2012958,35496.0,
108,61,Digital-Social,Instagram,761256,4835024,29374.0,
109,49,Trade-Promo,Retailers,219930,1725185,40127.0,
110,62,Digital-Search,Google,795957,4377761,8670.0,
111,35,In-store,Blinkit,508723,819349,15051.0,
112,4,In-store,Blinkit,465712,4261140,25007.0,
113,48,Digital-Social,Meta,384165,881169,47338.0,
114,18,TV,,545404,1214277,,315.6
115,11,TV,,276130,1304261,,242.1
116,15,Digital-Search,Google,365779,1072138,3629.0,
117,80,In-store,Blinkit,166242,4242871,39607.0,
118,74,Digital-Social,Meta,355420,3650716,602.0,
119,54,Digital-Social,Meta,598913,3074963,4935.0,
120,65,Trade-Promo,Retailers,459420,3993778,3353.0,
121,33,OOH,,424440,616730,,
122,81,TV,,189890,421914,,173.3
123,100,OOH,,779168,4064210,,
124,9,OOH,,88780,2511574,,
125,6,Digital-Search,Google,590418,3390545,36088.0,
126,83,Digital-Social,Instagram,424314,451009,43474.0,
127,48,In-store,DMart,511097,3293411,22719.0,
128,48,Trade-Promo,Retailers,136624,3610961,5672.0,
129,24,Trade-Promo,Retailers,386814,910653,5747.0,
130,58,Trade-Promo,Retailers,224739,3773773,23538.0,
131,46,Trade-Promo,Retailers,337892,531154,5417.0,
132,66,OOH,,82653,1247720,,
133,57,TV,,120499,2029672,,322.5
134,73,TV,,762048,3824224,,382.1
135,74,Digital-Social,Instagram,467368,2687256,43069.0,
136,4,OOH,,573285,4393162,,
137,100,Digital-Search,Google,274993,2445592,45980.0,
138,18,TV,,231043,3783863,,399.0
139,41,OOH,,794007,594748,,
140,39,Digital-Social,Meta,429052,4317752,15195.0,
141,31,In-store,Blinkit,428427,4697468,38004.0,
142,71,Digital-Social,Meta,118941,2644518,26593.0,
143,53,In-store,Blinkit,181414,2709420,42596.0,
144,67,Digital-Search,Google,628083,4980706,12425.0,
145,8,TV,,368897,1431243,,106.7
146,67,Digital-Search,Google,312778,1696699,42119.0,
147,39,Trade-Promo,Retailers,576986,1464620,39284.0,
148,85,Trade-Promo,Retailers,640996,395562,2359.0,
149,99,Trade-Promo,Retailers,732759,1818388,37995.0,
150,64,OOH,,723088,2584149,,
151,88,In-store,DMart,525575,662142,45628.0,
152,62,In-store,Blinkit,406717,1255180,20985.0,
153,45,In-store,Blinkit,438539,4369966,37308.0,
154,16,Digital-Search,Google,309961,1231767,6844.0,
155,79,In-store,Blinkit,217457,2796730,38359.0,
156,21,In-store,DMart,572987,2638225,33095.0,
157,65,In-store,Blinkit,275595,4943445,23627.0,
158,77,OOH,,349628,4552088,,
159,18,Digital-Search,Google,472842,3119705,3465.0,
160,25,Digital-Search,Google,127103,3290928,33546.0,
161,80,OOH,,184913,861023,,
162,44,Trade-Promo,Retailers,201275,1719818,39983.0,
163,6,TV,,798255,2843747,,331.4
164,66,Digital-Social,Instagram,692848,2722023,11149.0,
165,39,Trade-Promo,Retailers,581958,4325791,35387.0,
166,3,Digital-Search,Google,756537,969429,27798.0,
167,93,OOH,,675905,4031151,,
168,93,TV,,228794,4447579,,270.2
169,88,Digital-Social,Meta,650383,971870,13003.0,
170,20,In-store,Blinkit,480311,4259567,40573.0,
171,95,OOH,,790058,1208319,,
172,85,In-store,DMart,378993,1502759,30624.0,
173,46,OOH,,689711,4111597,,
174,39,Digital-Social,Instagram,353042,1788772,45735.0,
175,45,Trade-Promo,Retailers,351769,1072354,38083.0,
176,51,Digital-Search,Google,354561,402879,19350.0,
177,57,OOH,,552351,1845051,,
178,72,OOH,,193941,966258,,
179,7,OOH,,718933,2003174,,
180,92,In-store,Blinkit,764281,1203157,839.0,
181,61,In-store,Blinkit,351198,2744149,19204.0,
182,12,OOH,,611147,362880,,
183,23,TV,,569447,1612895,,377.8
184,2,Digital-Search,Google,401317,2437076,30276.0,
185,18,Trade-Promo,Retailers,336090,1667419,7882.0,
186,83,Digital-Search,Google,64768,2877901,19834.0,
187,82,In-store,DMart,590310,2800848,6184.0,
188,18,In-store,DMart,310096,107295,17590.0,
189,35,Digital-Search,Google,660754,4855643,1249.0,
190,8,OOH,,538002,2623678,,
191,91,Digital-Search,Google,719737,2524954,24587.0,
192,18,In-store,Blinkit,527079,3184192,27752.0,
193,97,Trade-Promo,Retailers,309486,736777,34939.0,
194,10,Trade-Promo,Retailers,114758,4644014,33627.0,
195,22,Digital-Search,Google,171886,1773032,47483.0,
196,66,In-store,Blinkit,525458,1156829,34136.0,
197,72,In-store,DMart,72827,3371458,17176.0,
198,75,TV,,494278,2940117,,295.1
199,9,In-store,Blinkit,351036,3479824,12295.0,
200,94,OOH,,442650,3258471,,
201,49,In-store,Blinkit,765894,4573978,9215.0,
202,69,In-store,Blinkit,283507,79136,1989.0,
203,70,In-store,DMart,290820,2126281,30687.0,
204,93,TV,,742267,3566845,,265.2
205,31,Digital-Social,Meta,155797,331658,29757.0,
206,6,In-store,DMart,295722,4577833,14738.0,
207,65,Digital-Search,Google,654095,2725158,38345.0,
208,19,OOH,,483649,2570784,,
209,76,OOH,,706401,3633618,,
210,45,OOH,,599939,2723738,,
211,39,In-store,Blinkit,614058,4022163,16292.0,
212,91,Digital-Social,Instagram,110423,4767635,27545.0,
213,50,Digital-Social,Instagram,263214,2820446,42882.0,
214,12,Trade-Promo,Retailers,104040,2302019,25218.0,
215,10,Digital-Social,Meta,552681,1802288,22321.0,
216,25,OOH,,552184,2085019,,
217,51,Digital-Social,Instagram,346809,3243222,31056.0,
218,47,Trade-Promo,Retailers,538640,877185,47844.0,
219,27,Digital-Search,Google,484037,433488,37365.0,
220,3,Digital-Search,Google,359531,1328519,13357.0,
221,32,In-store,DMart,319826,4148850,47919.0,
222,94,Digital-Search,Google,196757,4634762,32502.0,
223,8,Trade-Promo,Retailers,127941,456968,918.0,
224,30,TV,,59585,1884753,,227.0
225,86,Trade-Promo,Retailers,741309,4142419,1530.0,
226,2,TV,,611762,2454917,,56.0
227,23,TV,,599857,1299042,,134.3
228,46,Digital-Search,Google,132857,3179383,27109.0,
229,90,Digital-Social,Instagram,767269,726263,43343.0,
230,12,In-store,DMart,445490,4686395,31695.0,
231,22,TV,,504987,2828899,,248.0
232,6,Digital-Social,Meta,775916,4804530,31662.0,
233,88,Digital-Search,Google,238066,2688088,1526.0,
234,92,In-store,Blinkit,363814,1412731,37459.0,
235,70,Digital-Search,Google,196748,707899,33319.0,
236,56,Digital-Social,Meta,407137,3377786,21889.0,
237,58,In-store,Blinkit,423095,4689216,25103.0,
238,85,In-store,Blinkit,698665,2527822,16651.0,
239,20,In-store,Blinkit,458548,2706489,24138.0,
240,40,In-store,DMart,332870,907579,9183.0,
241,72,Trade-Promo,Retailers,158310,270300,6373.0,
242,77,Digital-Search,Google,62940,2498193,27619.0,
243,72,Digital-Social,Meta,768605,3243811,11608.0,
244,64,Digital-Social,Meta,225329,3696328,18585.0,
245,10,Digital-Search,Google,308568,4209092,39415.0,
246,18,Digital-Search,Google,464913,2836839,41144.0,
247,57,Digital-Search,Google,732661,1191894,20189.0,
248,26,In-store,DMart,236266,3390675,21415.0,
249,32,Digital-Search,Google,343916,3346178,24421.0,
250,70,Digital-Social,Meta,534045,1808658,29234.0,
251,9,In-store,DMart,195939,2590344,16361.0,
252,49,TV,,676979,4070112,,253.8
253,89,In-store,Blinkit,426993,4553893,39416.0,
254,32,OOH,,224418,421587,,
255,43,In-store,Blinkit,61060,877171,17456.0,
256,72,Trade-Promo,Retailers,517432,3188342,26133.0,
257,89,Trade-Promo,Retailers,411724,256046,32138.0,
258,11,TV,,415249,2666325,,170.1
259,45,In-store,Blinkit,509450,3845402,21400.0,
260,91,TV,,409743,967400,,287.0
261,23,Trade-Promo,Retailers,397067,4746353,28442.0,
262,81,Digital-Social,Meta,721590,3675006,26424.0,
263,26,In-store,DMart,457723,87329,46685.0,
264,91,TV,,612968,1618332,,178.0
265,86,In-store,DMart,675969,3310142,40562.0,
266,46,In-store,Blinkit,756309,2545148,40770.0,
267,41,TV,,370214,1031038,,114.1
268,54,Trade-Promo,Retailers,652727,3268792,28224.0,
269,89,OOH,,631868,1449769,,
270,41,In-store,Blinkit,426479,130391,32259.0,
271,72,Trade-Promo,Retailers,479008,4174895,27738.0,
272,11,Trade-Promo,Retailers,281241,2500227,2642.0,
273,22,In-store,DMart,626429,4334951,7919.0,
274,70,Digital-Search,Google,512806,4633143,14822.0,
275,84,Digital-Social,Instagram,83796,3822628,17723.0,
276,16,Digital-Social,Meta,666482,2991304,47079.0,
277,79,Digital-Social,Meta,266995,547929,37860.0,
278,69,Digital-Social,Instagram,788253,2504797,19461.0,
279,66,OOH,,192175,3502719,,
280,84,Digital-Social,Meta,311805,1276778,47121.0,
281,87,In-store,DMart,199077,4893796,41945.0,
282,10,OOH,,472419,4375279,,
283,48,In-store,DMart,393187,4931796,662.0,
284,12,OOH,,715678,3054990,,
285,51,Digital-Social,Instagram,272142,4199969,18098.0,
286,74,Digital-Social,Instagram,410437,456086,3510.0,
287,59,TV,,215657,3751774,,209.8
288,17,OOH,,216699,2348641,,
289,11,Digital-Search,Google,104302,3374754,41499.0,
290,12,OOH,,51139,1840306,,
291,29,Trade-Promo,Retailers,59738,117633,46086.0,
292,55,OOH,,550905,644150,,
293,14,TV,,435416,2560335,,98.0
294,83,OOH,,121734,4500225,,
295,22,In-store,DMart,273404,1319818,27481.0,
296,12,TV,,179139,4995704,,305.5
297,18,Digital-Social,Instagram,725933,756729,16763.0,
298,89,TV,,265425,4393194,,262.4
299,83,TV,,568927,3287042,,89.5
300,2,Digital-Search,Google,188394,3295034,37749.0,
301,23,In-store,Blinkit,67500,4977162,4925.0,
302,8,In-store,DMart,709104,4253103,27725.0,
303,82,Trade-Promo,Retailers,340946,751263,20810.0,
304,20,Trade-Promo,Retailers,459711,4969391,42069.0,
305,9,Digital-Search,Google,300229,535750,16522.0,
306,79,Trade-Promo,Retailers,374314,1523424,8327.0,
307,21,In-store,DMart,598410,4388779,47736.0,
308,96,Digital-Search,Google,80782,2860276,28636.0,
309,92,Trade-Promo,Retailers,570248,3868475,33974.0,
310,73,Digital-Social,Instagram,214951,2190068,7243.0,
311,15,Digital-Social,Meta,96177,153079,16526.0,
312,20,Digital-Social,Meta,629720,3567924,15213.0,
313,93,Digital-Search,Google,131670,4844391,24932.0,
314,7,Digital-Social,Meta,590828,435276,26775.0,
315,100,Digital-Search,Google,140581,4689666,30433.0,
316,73,Digital-Search,Google,536462,3139303,39277.0,
317,70,Digital-Social,Meta,56687,3489632,2066.0,
318,89,TV,,51533,3206422,,347.2
319,68,Digital-Social,Instagram,565929,552436,9830.0,
320,30,Trade-Promo,Retailers,784891,3174689,30545.0,
321,65,Digital-Social,Instagram,128465,4813225,4581.0,
322,31,Digital-Search,Google,380310,3346325,46422.0,
323,58,Digital-Search,Google,128315,1750476,9420.0,
324,20,TV,,521404,3959553,,159.9
325,99,Digital-Social,Instagram,373284,3936832,17867.0,
326,88,Digital-Search,Google,275465,2799732,10220.0,
327,46,In-store,Blinkit,760078,2556857,17550.0,
328,52,In-store,Blinkit,149326,3925899,7178.0,
329,2,TV,,187064,1712060,,338.3
330,83,TV,,128629,232873,,399.0
331,17,TV,,178479,408162,,379.8
332,56,OOH,,570226,297315,,
333,46,Digital-Social,Meta,338339,2397590,29729.0,
334,80,Trade-Promo,Retailers,728720,2525521,33195.0,
335,12,Digital-Search,Google,193902,3566796,13571.0,
336,70,TV,,798023,3062450,,217.9
337,73,Trade-Promo,Retailers,457247,2318578,12284.0,
338,4,Digital-Search,Google,544596,4491199,23924.0,
339,21,TV,,738772,2072936,,143.3
340,8,Digital-Social,Instagram,422039,1507202,12040.0,
341,90,Digital-Search,Google,787623,3000123,37701.0,
342,25,In-store,DMart,234084,4164078,2987.0,
343,29,TV,,50716,2832786,,371.3
344,92,Digital-Social,Instagram,112448,233818,10180.0,
345,68,Digital-Search,Google,441738,3368496,38905.0,
346,18,Digital-Social,Instagram,720318,4136929,43044.0,
347,72,OOH,,284081,4990471,,
348,94,OOH,,183534,1540725,,
349,74,In-store,Blinkit,240926,2719396,40567.0,
350,64,Digital-Social,Instagram,131586,2046454,23228.0,
351,12,OOH,,518325,145593,,
352,9,Digital-Search,Google,163282,60747,3655.0,
353,22,In-store,DMart,447108,2996340,36284.0,
354,74,OOH,,220557,3835673,,
355,41,Digital-Search,Google,127804,2917295,11648.0,
356,10,Trade-Promo,Retailers,404366,4099489,46670.0,
357,22,Trade-Promo,Retailers,214735,499258,7136.0,
358,53,OOH,,742687,2411586,,
359,51,Trade-Promo,Retailers,211050,507219,24147.0,
360,85,OOH,,259374,863585,,
361,38,TV,,171119,2636655,,324.7
362,34,TV,,243862,3162345,,359.9
363,34,In-store,DMart,326195,1947857,18100.0,
364,90,OOH,,139870,2933931,,
365,97,Trade-Promo,Retailers,630493,561568,25869.0,
366,69,OOH,,650534,2026708,,
367,92,TV,,176124,3816818,,110.5
368,17,TV,,132175,3702343,,120.7
369,77,Digital-Search,Google,120267,780039,25934.0,
370,36,Trade-Promo,Retailers,62964,4978945,34746.0,
371,20,Digital-Social,Meta,160766,4770133,7118.0,
372,45,In-store,DMart,451650,4123380,37988.0,
373,36,In-store,Blinkit,698276,3419870,3041.0,
374,7,OOH,,331631,3174259,,
375,39,Digital-Search,Google,565500,873907,15439.0,
376,57,Digital-Search,Google,487017,798992,12816.0,
377,53,OOH,,591590,3186586,,
378,21,TV,,794037,4301306,,191.2
379,4,Digital-Social,Meta,260477,533414,16850.0,
380,47,OOH,,337286,3139959,,
381,82,TV,,303690,3174477,,221.1
382,61,Trade-Promo,Retailers,410971,1421651,17451.0,
383,4,In-store,Blinkit,220820,4850448,14545.0,
384,87,Digital-Social,Instagram,733238,3485195,34138.0,
385,17,OOH,,680343,120998,,
386,40,OOH,,494393,3208104,,
387,28,In-store,DMart,760091,4417427,41368.0,
388,66,OOH,,638730,2421265,,
389,44,Digital-Search,Google,340334,2240659,43499.0,
390,20,Trade-Promo,Retailers,109532,3439823,43788.0,
391,4,OOH,,359963,2226225,,
392,95,TV,,409836,1915317,,290.2
393,86,Digital-Search,Google,228243,4732924,12370.0,
394,95,Digital-Search,Google,762730,2865489,43389.0,
395,96,Digital-Search,Google,397411,3167898,17576.0,
396,16,In-store,Blinkit,715213,4945378,38531.0,
397,25,Trade-Promo,Retailers,763763,3251673,35223.0,
398,20,Digital-Social,Meta,409315,3482549,37816.0,
399,19,Digital-Search,Google,134736,4140124,22299.0,
400,8,TV,,336814,1806426,,316.4
401,63,TV,,694328,3688235,,271.7
402,50,TV,,609711,1722807,,305.7
403,97,Trade-Promo,Retailers,68786,84593,41570.0,
404,45,Digital-Search,Google,157697,3267454,33486.0,
405,6,Digital-Search,Google,528073,4414495,39583.0,
406,88,Digital-Social,Instagram,563989,3063614,49659.0,
407,52,TV,,285217,1150633,,123.9
408,16,Digital-Search,Google,443417,2195715,35544.0,
409,7,OOH,,735315,215605,,
410,49,TV,,547440,1334523,,121.9
411,54,OOH,,744663,4414670,,
412,14,Trade-Promo,Retailers,346439,1006406,7464.0,
413,100,Digital-Search,Google,425308,3487284,19856.0,
414,27,OOH,,396663,2017172,,
415,15,Trade-Promo,Retailers,206389,805668,34035.0,
416,33,OOH,,528938,2533214,,
417,23,TV,,427712,2673177,,199.1
418,6,TV,,745578,1480360,,165.0
419,35,OOH,,440722,2924966,,
420,59,Digital-Search,Google,773415,4061809,28139.0,
421,90,OOH,,217138,920008,,
422,73,OOH,,240065,3235580,,
423,88,OOH,,556545,4144670,,
424,9,Digital-Search,Google,62960,4452491,49234.0,
425,86,Digital-Search,Google,503873,2135214,32083.0,
426,50,Digital-Social,Meta,62210,1366402,33632.0,
427,22,TV,,386208,2070747,,165.8
428,71,OOH,,472866,2021322,,
429,74,In-store,Blinkit,572669,3800279,21213.0,
430,3,TV,,482368,350580,,245.0
431,80,OOH,,583030,4767187,,
432,44,Digital-Search,Google,283746,3862286,22256.0,
433,47,OOH,,169562,867360,,
434,44,Digital-Search,Google,624295,4428728,25003.0,
435,22,In-store,Blinkit,479088,947258,17165.0,
436,51,Digital-Social,Instagram,249836,2884792,7562.0,
437,82,OOH,,522388,3886847,,
438,18,In-store,Blinkit,606127,457448,36756.0,
439,62,Trade-Promo,Retailers,775423,4903265,11880.0,
440,85,Trade-Promo,Retailers,578597,3276784,27937.0,
441,44,Digital-Search,Google,189850,1209137,27549.0,
442,90,Trade-Promo,Retailers,796454,4693778,41956.0,
443,92,Digital-Search,Google,755034,1162931,47056.0,
444,89,OOH,,794858,1018089,,
445,75,Trade-Promo,Retailers,756995,4528701,19238.0,
446,2,Trade-Promo,Retailers,76499,3244971,10024.0,
447,97,Digital-Social,Instagram,766586,2151858,10096.0,
448,38,Digital-Social,Meta,426105,3846637,7216.0,
449,96,OOH,,299136,4335926,,
450,37,OOH,,450118,3301044,,
451,41,Trade-Promo,Retailers,63595,2158402,13809.0,
452,82,OOH,,666966,4635340,,
453,93,Digital-Social,Instagram,520616,1538356,45238.0,
454,95,Trade-Promo,Retailers,445521,390864,28582.0,
455,21,Trade-Promo,Retailers,55919,2822961,31061.0,
456,42,Trade-Promo,Retailers,705744,2576269,32648.0,
457,10,OOH,,600916,1895175,,
458,65,Digital-Social,Instagram,619460,4554984,26938.0,
459,28,OOH,,397148,3076591,,
460,80,Trade-Promo,Retailers,638602,123850,8018.0,
461,83,Trade-Promo,Retailers,91814,2742214,25493.0,
462,50,Digital-Search,Google,75905,4385801,25073.0,
463,6,Digital-Search,Google,385872,4360861,5896.0,
464,99,Trade-Promo,Retailers,707386,599217,14313.0,
465,88,In-store,Blinkit,265565,4561009,46554.0,
466,83,TV,,74906,3902260,,300.9
467,23,Digital-Search,Google,652891,1959629,17450.0,
468,52,In-store,DMart,67711,3317378,44625.0,
469,93,Trade-Promo,Retailers,664054,431823,46433.0,
470,65,TV,,769195,2577912,,262.3
471,85,TV,,213917,4525051,,127.0
472,70,Digital-Search,Google,362534,3180045,1230.0,
473,6,TV,,613244,4642976,,381.4
474,93,Digital-Search,Google,482699,4349603,9835.0,
475,33,Digital-Social,Meta,240167,4808795,4064.0,
476,71,In-store,Blinkit,354771,615079,16929.0,
477,63,Digital-Search,Google,184443,2017404,7056.0,
478,25,Digital-Search,Google,522536,2804366,40892.0,
479,20,Trade-Promo,Retailers,381699,3642902,11551.0,
480,29,OOH,,340119,3065587,,
481,60,In-store,DMart,370310,4135012,36654.0,
482,11,Digital-Search,Google,614781,1697790,17751.0,
483,10,TV,,660156,4906171,,191.8
484,71,Digital-Search,Google,735672,1296823,24474.0,
485,76,OOH,,190384,3948195,,
486,47,Trade-Promo,Retailers,744868,2053877,40741.0,
487,18,In-store,Blinkit,237847,4800948,37581.0,
488,62,Digital-Search,Google,279448,4140638,15687.0,
489,6,OOH,,593042,3080396,,
490,6,TV,,158239,4423592,,271.7
491,73,Digital-Social,Instagram,735428,3225243,24440.0,
492,49,Digital-Social,Instagram,420040,2944340,32406.0,
493,1,Trade-Promo,Retailers,511267,1439202,15572.0,
494,28,Digital-Social,Meta,215001,3088546,39954.0,
495,54,Digital-Search,Google,554906,4066588,31893.0,
496,53,TV,,95240,1122778,,250.7
497,6,Trade-Promo,Retailers,108627,1445372,17425.0,
498,52,Trade-Promo,Retailers,743889,2427789,6119.0,
499,61,In-store,Blinkit,280019,3495762,39876.0,
500,24,Trade-Promo,Retailers,225868,2924534,30218.0,
