campaign_id,campaign_name,product_category,brand,start_date,end_date,total_budget,region,season_tag
59,Nescafé Campaign 59,Beverages,Nescafé,2024-09-24,2024-10-25,19981358,East,Diwali
60,Milo Campaign 60,Beverages,Milo,2024-12-19,2025-01-28,15142948,Metro,Diwali
61,Maggi Campaign 61,Meals,Maggi,2024-09-17,2024-10-09,15131662,North,Summer
62,Everyday Campaign 62,Dairy-Nutrition,Everyday,2024-03-12,2024-04-22,11033261,Tier-2/3,Diwali
63,Everyday Campaign 63,Dairy-Nutrition,Everyday,2025-11-13,2025-12-29,11444882,West,Back-to-School
64,KitKat Campaign 64,Confectionery,KitKat,2025-03-06,2025-04-19,6339388,Metro,Back-to-School
65,Maggi Campaign 65,Meals,Maggi,2024-11-07,2024-12-15,7552560,West,Back-to-School
66,Maggi Campaign 66,Meals,Maggi,2025-03-28,2025-04-30,17652153,West,Summer
67,Milo Campaign 67,Beverages,Milo,2025-06-11,2025-08-10,11747051,North,Summer
68,Cerelac Campaign 68,Dairy-Nutrition,Cerelac,2024-07-22,2024-08-20,1319580,North,Summer
69,Maggi Campaign 69,Meals,Maggi,2025-04-11,2025-05-27,19816310,South,Regular
70,Maggi Campaign 70,Meals,Maggi,2024-09-06,2024-10-05,686053,North,Regular
71,KitKat Campaign 71,Confectionery,KitKat,2025-06-14,2025-08-02,2185049,Metro,Summer
72,Milo Campaign 72,Beverages,Milo,2024-05-16,2024-07-04,18321828,Metro,Back-to-School
73,Maggi Campaign 73,Meals,Maggi,2025-07-15,2025-09-01,5840453,Tier-2/3,Regular
74,Maggi Campaign 74,Meals,Maggi,2024-09-10,2024-11-09,9805024,Metro,Regular
75,Munch Campaign 75,Confectionery,Munch,2025-03-26,2025-04-19,10087445,South,Back-to-School
76,Everyday Campaign 76,Dairy-Nutrition,Everyday,2025-07-07,2025-08-01,5143063,South,Summer
77,Maggi Campaign 77,Meals,Maggi,2024-08-07,2024-08-31,14420656,West,Back-to-School
78,Maggi Campaign 78,Meals,Maggi,2024-03-04,2024-04-06,14597677,West,Diwali
79,Maggi Campaign 79,Meals,Maggi,2024-01-07,2024-02-18,10519777,West,Regular
80,Munch Campaign 80,Confectionery,Munch,2024-08-12,2024-09-18,15124228,West,Diwali
81,Maggi Campaign 81,Meals,Maggi,2025-11-15,2025-12-30,6037982,West,Summer
82,Milo Campaign 82,Beverages,Milo,2025-08-29,2025-10-24,1409393,North,Regular
83,Munch Campaign 83,Confectionery,Munch,2024-07-05,2024-07-28,9229397,West,Back-to-School
84,Munch Campaign 84,Confectionery,Munch,2024-11-30,2025-01-10,13221364,East,Regular
85,Cerelac Campaign 85,Dairy-Nutrition,Cerelac,2025-04-26,2025-05-17,18599899,North,Back-to-School
86,KitKat Campaign 86,Confectionery,KitKat,2025-10-29,2025-11-20,1541193,South,Summer
87,Nescafé Campaign 87,Beverages,Nescafé,2024-09-01,2024-09-29,16390072,Tier-2/3,Diwali
88,Munch Campaign 88,Confectionery,Munch,2024-09-19,2024-11-01,6130069,Metro,Diwali
89,Munch Campaign 89,Confectionery,Munch,2024-04-20,2024-06-16,1361624,East,Regular
90,Maggi Campaign 90,Meals,Maggi,2024-03-18,2024-05-14,8648673,North,Back-to-School
91,Nescafé Campaign 91,Beverages,Nescafé,2024-12-21,2025-02-13,14873980,Tier-2/3,Back-to-School
92,Milo Campaign 92,Beverages,Milo,2024-01-13,2024-02-28,16948439,North,Regular
93,Everyday Campaign 93,Dairy-Nutrition,Everyday,2024-06-05,2024-07-22,6410175,Tier-2/3,Back-to-School
94,Maggi Campaign 94,Meals,Maggi,2025-03-22,2025-05-18,9505859,East,Summer
95,Milo Campaign 95,Beverages,Milo,2025-04-06,2025-05-11,16093028,Metro,Regular
96,Cerelac Campaign 96,Dairy-Nutrition,Cerelac,2025-05-21,2025-06-30,6601533,West,Summer
97,Everyday Campaign 97,Dairy-Nutrition,Everyday,2024-12-14,2025-01-20,9770035,Metro,Diwali
98,KitKat Campaign 98,Confectionery,KitKat,2024-09-04,2024-10-20,16893952,Metro,Summer
99,Maggi Campaign 99,Meals,Maggi,2025-04-03,2025-04-24,3622352,East,Summer
100,Maggi Campaign 100,Meals,Maggi,2024-11-09,2025-01-05,12882271,West,Back-to-School
