record_id,campaign_id,channel,leads_generated,conversions,revenue_generated
82,28,Trade-Promo,2520,1466,828506.13
83,86,Digital-Search,648,67,335458.75
84,28,Digital-Social,263,113,977920.89
85,23,Digital-Social,4777,1927,492250.0
86,95,TV,7262,2008,158086.98
87,74,In-store,370,133,388381.47
88,80,In-store,2193,1111,328643.36
89,68,TV,6582,1346,308346.81
90,82,TV,6908,3333,1233886.05
91,31,TV,1452,816,260619.84
92,99,OOH,6424,3015,1020310.23
93,73,OOH,1436,593,564753.97
94,57,OOH,3083,1347,275534.72
95,60,In-store,828,412,340617.87
96,12,Trade-Promo,6686,3694,1711554.03
97,58,Trade-Promo,1435,206,738098.53
98,44,OOH,520,178,1535718.77
99,57,Trade-Promo,3373,1174,1228237.11
100,87,Trade-Promo,2900,483,1578244.37
101,50,Digital-Search,867,384,1864216.31
102,45,Digital-Search,4778,2019,456764.35
103,43,Digital-Social,3164,353,1201335.19
104,24,Digital-Social,1326,290,461227.13
105,13,Trade-Promo,1273,738,1259351.27
106,21,Digital-Social,3184,1703,1367400.4
107,57,Trade-Promo,2159,848,1770618.9
108,61,Digital-Social,3982,1973,1078804.82
109,49,Trade-Promo,1333,389,165238.12
110,62,Digital-Search,2535,424,2239057.93
111,35,In-store,6890,2536,1610325.19
112,4,In-store,2131,1003,1622598.13
113,48,Digital-Social,5524,1925,1112159.15
114,18,TV,4042,1322,1300521.26
115,11,TV,6157,3108,588305.28
116,15,Digital-Search,2153,1074,897241.26
117,80,In-store,4591,526,404411.82
118,74,Digital-Social,5236,1968,461205.89
119,54,Digital-Social,4509,2678,1240498.74
120,65,Trade-Promo,5407,2124,1582708.48
121,33,OOH,3024,795,1156823.51
122,81,TV,2973,1613,210352.26
123,100,OOH,5375,1283,2301150.57
124,9,OOH,1851,229,256948.56
125,6,Digital-Search,4078,925,416953.33
126,83,Digital-Social,2919,850,407756.22
127,48,In-store,1730,681,1332429.18
128,48,Trade-Promo,3727,1605,476241.85
129,24,Trade-Promo,2886,1641,563725.65
130,58,Trade-Promo,3862,472,608539.67
131,46,Trade-Promo,5698,3180,600775.24
132,66,OOH,7152,3203,212125.43
133,57,TV,3200,1061,206086.76
134,73,TV,3247,1233,2143599.09
135,74,Digital-Social,2483,759,1582278.17
136,4,OOH,3370,1487,539751.78
137,100,Digital-Search,7707,2781,324633.96
138,18,TV,6839,3476,786915.73
139,41,OOH,4705,2690,1144998.29
140,39,Digital-Social,1194,324,1242959.55
141,31,In-store,3222,1279,1255556.31
142,71,Digital-Social,6073,3551,236470.03
143,53,In-store,807,310,353923.53
144,67,Digital-Search,6489,1176,1164838.35
145,8,TV,7857,3690,462546.6
146,67,Digital-Search,4712,1595,301203.29
147,39,Trade-Promo,7913,3169,604198.61
148,85,Trade-Promo,865,109,2147840.34
149,99,Trade-Promo,3612,1626,1797512.39
150,64,OOH,4156,1418,2121247.81
151,88,In-store,690,149,985377.42
152,62,In-store,7257,3667,620657.28
153,45,In-store,1069,432,570556.69
154,16,Digital-Search,614,209,1035770.7
155,79,In-store,6107,1890,250188.39
156,21,In-store,389,73,1914449.92
157,65,In-store,598,84,390224.16
158,77,OOH,266,158,318770.37
159,18,Digital-Search,3481,452,1065699.23
160,25,Digital-Search,3889,1953,278938.41
161,80,OOH,3426,1106,537209.61
162,44,Trade-Promo,4370,2081,412659.22
163,6,TV,4454,2316,823741.63
164,66,Digital-Social,3419,1603,1901193.03
165,39,Trade-Promo,4212,1648,1150640.69
166,3,Digital-Search,4981,1758,2201968.24
167,93,OOH,2375,1421,1537778.33
168,93,TV,5276,2084,235325.97
169,88,Digital-Social,355,162,981888.55
170,20,In-store,7740,2705,1503936.05
171,95,OOH,4449,1293,1759120.74
172,85,In-store,7672,2950,603640.48
173,46,OOH,1775,429,971884.56
174,39,Digital-Social,5975,2599,536418.43
175,45,Trade-Promo,5742,2798,598398.87
176,51,Digital-Search,6050,928,568876.88
177,57,OOH,1855,1032,1194114.36
178,72,OOH,5243,2927,250943.75
179,7,OOH,630,114,1293054.17
180,92,In-store,4708,1116,1360444.34
181,61,In-store,5491,791,1135429.17
182,12,OOH,7681,4542,676960.11
183,23,TV,7345,1919,1789518.62
184,2,Digital-Search,5453,2770,851002.23
185,18,Trade-Promo,2908,622,914247.4
186,83,Digital-Search,4851,1276,71823.52
187,82,In-store,3483,1718,517475.67
188,18,In-store,3342,816,587797.21
189,35,Digital-Search,2342,970,1723926.29
190,8,OOH,1508,565,1393217.24
191,91,Digital-Search,5235,1427,889215.59
192,18,In-store,5950,2844,1711484.01
193,97,Trade-Promo,3859,1466,817328.31
194,10,Trade-Promo,1856,771,247454.33
195,22,Digital-Search,4977,2499,148463.23
196,66,In-store,3603,1295,1174578.57
197,72,In-store,6888,700,201208.84
198,75,TV,4633,709,1636203.58
199,9,In-store,6499,1203,990237.55
200,94,OOH,3874,2167,1442876.87
201,49,In-store,5553,1979,723031.65
202,69,In-store,2644,1212,723835.78
203,70,In-store,3035,620,406968.92
204,93,TV,7869,4405,2359087.74
205,31,Digital-Social,5097,708,204051.86
206,6,In-store,6379,3815,225839.25
207,65,Digital-Search,5098,1822,841834.46
208,19,OOH,2454,369,1071032.27
209,76,OOH,4753,2505,519885.62
210,45,OOH,5904,2295,1070262.15
211,39,In-store,7157,1638,903976.65
212,91,Digital-Social,3612,1502,235971.33
213,50,Digital-Social,847,314,804562.76
214,12,Trade-Promo,5718,3048,244335.23
215,10,Digital-Social,2683,299,671088.78
216,25,OOH,5898,3064,1458278.68
217,51,Digital-Social,4571,1928,518279.91
218,47,Trade-Promo,4046,1963,1634891.13
219,27,Digital-Search,7278,1633,1330923.58
220,3,Digital-Search,2902,761,611754.7
221,32,In-store,5456,2554,619312.38
222,94,Digital-Search,1707,725,683128.16
223,8,Trade-Promo,3578,638,389373.04
224,30,TV,3257,448,142510.77
225,86,Trade-Promo,254,118,1630706.58
226,2,TV,6861,3544,1562865.67
227,23,TV,5277,2683,799017.18
228,46,Digital-Search,3960,1553,173418.63
229,90,Digital-Social,7230,3384,2150500.76
230,12,In-store,659,391,279502.88
231,22,TV,7228,1112,1613380.2
232,6,Digital-Social,2420,337,2545052.49
233,88,Digital-Search,1897,790,242388.21
234,92,In-store,2169,1012,932601.32
235,70,Digital-Search,6306,2046,148686.33
236,56,Digital-Social,442,212,566998.68
237,58,In-store,3737,753,1087825.94
238,85,In-store,6041,905,585418.55
239,20,In-store,1072,200,282037.35
240,40,In-store,915,186,615756.44
241,72,Trade-Promo,3099,1444,137711.71
242,77,Digital-Search,3376,1932,53223.86
243,72,Digital-Social,1337,408,1132370.89
244,64,Digital-Social,3649,977,451620.34
245,10,Digital-Search,5251,1325,594857.0
246,18,Digital-Search,3312,1977,1441404.69
247,57,Digital-Search,2826,1517,2452296.13
248,26,In-store,2587,1263,804843.19
249,32,Digital-Search,1132,317,797011.02
250,70,Digital-Social,6734,1866,1607858.49
251,9,In-store,2269,541,523977.24
252,49,TV,4577,2532,2219230.37
253,89,In-store,5427,890,391625.74
254,32,OOH,4813,2117,763863.28
255,43,In-store,2018,723,168884.25
256,72,Trade-Promo,3993,1980,1330168.09
257,89,Trade-Promo,1056,407,743708.9
258,11,TV,6624,1509,876687.39
259,45,In-store,750,228,371684.97
260,91,TV,1546,912,535676.51
261,23,Trade-Promo,3985,872,1156851.44
262,81,Digital-Social,439,238,1718040.93
263,26,In-store,1959,405,644107.81
264,91,TV,1814,649,570347.98
265,86,In-store,3415,1543,629511.69
266,46,In-store,5034,850,1927921.82
267,41,TV,5880,1167,770560.5
268,54,Trade-Promo,1721,670,1594582.53
269,89,OOH,4211,1604,636202.58
270,41,In-store,1318,330,1264137.59
271,72,Trade-Promo,6017,2419,966268.63
272,11,Trade-Promo,2451,705,607217.6
273,22,In-store,4891,956,862516.21
274,70,Digital-Search,3682,577,1402199.92
275,84,Digital-Social,3055,483,156975.27
276,16,Digital-Social,5199,3110,1227449.55
277,79,Digital-Social,3073,1397,377837.05
278,69,Digital-Social,4891,1584,2650068.99
279,66,OOH,7726,1014,668425.02
280,84,Digital-Social,2838,789,875633.69
281,87,In-store,2401,1088,336041.93
282,10,OOH,6342,1773,1235205.84
283,48,In-store,7318,3901,1201888.22
284,12,OOH,7164,975,2080809.44
285,51,Digital-Social,2844,864,429845.55
286,74,Digital-Social,1015,421,1179300.55
287,59,TV,3704,784,752106.55
288,17,OOH,964,431,356526.76
289,11,Digital-Search,2702,749,192413.17
290,12,OOH,4106,729,50363.19
291,29,Trade-Promo,3014,547,207030.95
292,55,OOH,2075,991,473260.52
293,14,TV,6536,3737,1365482.93
294,83,OOH,4814,515,288500.55
295,22,In-store,5246,2336,845882.26
296,12,TV,3079,1186,270869.03
297,18,Digital-Social,4733,1640,2075451.15
298,89,TV,1745,939,460798.49
299,83,TV,4292,719,1212969.92
300,2,Digital-Search,3647,1112,411534.08
301,23,In-store,312,117,82731.68
302,8,In-store,3669,1803,1252706.31
303,82,Trade-Promo,847,345,1115125.98
304,20,Trade-Promo,6452,3306,1183784.09
305,9,Digital-Search,906,312,281122.75
306,79,Trade-Promo,303,85,986073.66
307,21,In-store,2323,573,1004384.12
308,96,Digital-Search,2428,1314,63432.35
309,92,Trade-Promo,3150,428,1168363.46
310,73,Digital-Social,7525,3102,549188.9
311,15,Digital-Social,576,298,159224.09
312,20,Digital-Social,2836,791,1137994.81
313,93,Digital-Search,1178,631,336106.71
314,7,Digital-Social,764,314,1838357.46
315,100,Digital-Search,265,97,166159.2
316,73,Digital-Search,4241,1224,1461399.57
317,70,Digital-Social,2108,919,138556.14
318,89,TV,6157,1874,46454.53
319,68,Digital-Social,6029,1748,492232.17
320,30,Trade-Promo,6326,979,1792875.35
321,65,Digital-Social,3763,1732,436297.07
322,31,Digital-Search,7014,3713,588008.53
323,58,Digital-Search,6589,3812,294566.75
324,20,TV,1189,666,854598.67
325,99,Digital-Social,7183,1209,321853.15
326,88,Digital-Search,947,458,363568.21
327,46,In-store,6918,1403,524558.76
328,52,In-store,6785,3929,150132.33
329,2,TV,3249,1729,454165.74
330,83,TV,1819,842,242587.97
331,17,TV,614,147,585407.91
332,56,OOH,3335,1732,1047690.86
333,46,Digital-Social,7437,1351,237000.85
334,80,Trade-Promo,3575,1484,1449562.32
335,12,Digital-Search,5464,2699,256440.92
336,70,TV,6601,2645,1275000.51
337,73,Trade-Promo,413,131,1066134.22
338,4,Digital-Search,6481,3040,1905463.34
339,21,TV,6887,3928,2408435.51
340,8,Digital-Social,2137,864,1239954.66
341,90,Digital-Search,4817,1063,1758774.59
342,25,In-store,939,121,298365.28
343,29,TV,1850,1010,49621.53
344,92,Digital-Social,5005,1080,319989.1
345,68,Digital-Search,1027,446,651616.09
346,18,Digital-Social,2799,635,1909440.9
347,72,OOH,6872,1405,482174.63
348,94,OOH,6170,624,615111.54
349,74,In-store,2009,854,539697.3
350,64,Digital-Social,2817,624,321720.09
351,12,OOH,2372,666,686090.48
352,9,Digital-Search,3361,1233,444861.0
353,22,In-store,3274,534,1342906.87
354,74,OOH,803,97,320962.26
355,41,Digital-Search,7473,2284,136318.69
356,10,Trade-Promo,453,160,1347785.26
357,22,Trade-Promo,2912,711,735629.59
358,53,OOH,2636,749,652195.17
359,51,Trade-Promo,231,104,180262.5
360,85,OOH,410,102,284121.74
361,38,TV,4057,1406,546749.97
362,34,TV,3226,704,461569.38
363,34,In-store,4822,734,338681.4
364,90,OOH,6820,2899,251844.51
365,97,Trade-Promo,6904,2830,1143735.12
366,69,OOH,4101,1634,539272.94
367,92,TV,1569,372,518603.47
368,17,TV,6938,3262,135987.84
369,77,Digital-Search,4757,2102,264702.51
370,36,Trade-Promo,6603,2378,58323.85
371,20,Digital-Social,6636,1834,500895.13
372,45,In-store,5188,2455,320061.97
373,36,In-store,3442,1022,1817256.23
374,7,OOH,365,136,985083.08
375,39,Digital-Search,1300,437,1936971.15
376,57,Digital-Search,3818,813,1582296.38
377,53,OOH,6925,922,1238956.37
378,21,TV,6593,2806,2501267.78
379,4,Digital-Social,470,166,194477.84
380,47,OOH,6946,2595,696450.56
381,82,TV,3854,748,1028145.26
382,61,Trade-Promo,6335,3454,354313.13
383,4,In-store,7221,1628,547059.84
384,87,Digital-Social,364,52,1448058.45
385,17,OOH,2033,461,1608465.06
386,40,OOH,7176,2145,954719.48
387,28,In-store,3453,1542,681577.48
388,66,OOH,2645,485,1275570.26
389,44,Digital-Search,6025,3270,499097.85
390,20,Trade-Promo,2818,1675,110166.8
391,4,OOH,7629,2476,638335.63
392,95,TV,5429,2490,1323330.47
393,86,Digital-Search,2606,459,448557.87
394,95,Digital-Search,931,206,1243495.38
395,96,Digital-Search,4996,1703,772926.97
396,16,In-store,7935,3335,576837.62
397,25,Trade-Promo,2644,1110,578000.35
398,20,Digital-Social,7514,4464,1416754.99
399,19,Digital-Search,5369,1260,203303.26
400,8,TV,1581,748,948805.99
401,63,TV,3504,1228,2360333.83
402,50,TV,7982,855,1943038.32
403,97,Trade-Promo,6209,1639,86406.95
404,45,Digital-Search,5022,1755,171000.09
405,6,Digital-Search,4493,1832,980963.81
406,88,Digital-Social,1743,342,1889049.93
407,52,TV,379,200,588527.4
408,16,Digital-Search,5304,729,1029782.68
409,7,OOH,595,118,1329926.84
410,49,TV,5817,3162,343235.68
411,54,OOH,2411,521,1351261.52
412,14,Trade-Promo,4277,1240,819711.14
413,100,Digital-Search,1513,191,931255.42
414,27,OOH,222,51,1010592.64
415,15,Trade-Promo,814,451,556914.12
416,33,OOH,2363,1186,394181.82
417,23,TV,1149,211,1312482.65
418,6,TV,7527,2544,2512417.84
419,35,OOH,1698,285,776664.46
420,59,Digital-Search,5515,1234,717623.95
421,90,OOH,3608,1569,434223.25
422,73,OOH,6582,2126,569659.7
423,88,OOH,1125,533,1045188.65
424,9,Digital-Search,4923,2806,78672.06
425,86,Digital-Search,3032,1662,1290548.32
426,50,Digital-Social,7153,2637,191011.22
427,22,TV,2478,350,799487.27
428,71,OOH,845,319,892840.87
429,74,In-store,1172,626,1581249.63
430,3,TV,201,61,1397020.47
431,80,OOH,1894,859,1485138.14
432,44,Digital-Search,4788,2415,759959.29
433,47,OOH,6420,3340,210776.86
434,44,Digital-Search,5951,1030,457456.23
435,22,In-store,5204,1322,548017.2
436,51,Digital-Social,6402,2337,183592.25
437,82,OOH,5594,2972,1761989.61
438,18,In-store,7862,2558,1838120.57
439,62,Trade-Promo,6184,1143,698118.36
440,85,Trade-Promo,5188,1534,806233.29
441,44,Digital-Search,5135,2611,278481.11
442,90,Trade-Promo,1980,403,962249.3
443,92,Digital-Search,5525,1280,1556344.77
444,89,OOH,6432,2085,1773020.28
445,75,Trade-Promo,7388,4208,1381455.67
446,2,Trade-Promo,634,91,90247.17
447,97,Digital-Social,7076,961,1995212.6
448,38,Digital-Social,5247,2825,1324351.52
449,96,OOH,6625,3925,872455.0
450,37,OOH,3612,1975,1543853.38
451,41,Trade-Promo,5283,2342,191227.12
452,82,OOH,6249,3095,780190.37
453,93,Digital-Social,810,176,1765501.64
454,95,Trade-Promo,2486,1387,608713.04
455,21,Trade-Promo,6013,1235,40028.37
456,42,Trade-Promo,6670,3012,1549435.91
457,10,OOH,1706,703,479357.76
458,65,Digital-Social,953,273,769043.75
459,28,OOH,2604,707,1332786.59
460,80,Trade-Promo,5679,1984,1208512.78
461,83,Trade-Promo,7703,4031,306701.38
462,50,Digital-Search,4413,2524,143620.99
463,6,Digital-Search,7967,1189,418842.81
464,99,Trade-Promo,5691,3147,2011373.27
465,88,In-store,7397,3775,756355.56
466,83,TV,510,95,60855.08
467,23,Digital-Search,3539,1147,1245888.67
468,52,In-store,1169,663,41784.92
469,93,Trade-Promo,7148,1011,1087275.8
470,65,TV,2506,1146,1312323.1
471,85,TV,6317,2232,622634.15
472,70,Digital-Search,4734,2746,366153.62
473,6,TV,2696,699,1698722.74
474,93,Digital-Search,1518,339,598684.38
475,33,Digital-Social,7174,3793,793481.17
476,71,In-store,1004,201,959374.88
477,63,Digital-Search,2535,1521,148005.5
478,25,Digital-Search,5601,1812,1364356.43
479,20,Trade-Promo,239,90,501517.33
480,29,OOH,1300,469,1069969.79
481,60,In-store,1091,288,915443.22
482,11,Digital-Search,6209,3186,505190.69
483,10,TV,5033,1374,2131168.66
484,71,Digital-Search,3415,798,2343239.56
485,76,OOH,4305,2520,164226.51
486,47,Trade-Promo,5804,1259,2082574.66
487,18,In-store,5601,1158,650313.52
488,62,Digital-Search,714,206,467058.78
489,6,OOH,3379,1298,1934452.97
490,6,TV,2440,783,360473.37
491,73,Digital-Social,5014,819,1543165.05
492,49,Digital-Social,6693,2643,1332702.34
493,1,Trade-Promo,831,346,1260827.01
494,28,Digital-Social,6076,1091,541204.38
495,54,Digital-Search,1926,796,592425.5
496,53,TV,1519,288,231020.55
497,6,Trade-Promo,7756,1512,227927.47
498,52,Trade-Promo,1974,656,1754778.44
499,61,In-store,1369,732,834264.59
500,24,Trade-Promo,5086,2927,180614.08
