customer_id,acquisition_campaign_id,acquisition_channel,first_purchase_value,repeat_purchase_count,total_ltv
97,94,Digital-Social,1455,4,4923
98,96,TV,531,2,1643
99,14,TV,230,7,5207
100,7,TV,913,8,2793
101,14,Digital-Search,1365,2,1837
102,84,In-store,733,3,1942
103,95,Digital-Search,1007,10,3797
104,17,Trade-Promo,449,0,449
105,85,Digital-Search,766,7,5162
106,70,Digital-Search,1223,7,3239
107,90,Trade-Promo,462,9,7311
108,59,OOH,1402,9,6757
109,68,OOH,1409,8,5145
110,45,In-store,1205,3,1928
111,57,Digital-Search,849,6,3345
112,20,Digital-Search,121,0,121
113,98,Digital-Social,804,4,3324
114,69,TV,1107,12,8763
115,39,TV,981,12,6369
116,77,Digital-Social,114,8,4370
117,25,In-store,1248,6,4572
118,32,Digital-Social,1422,6,4644
119,29,Digital-Search,262,6,5002
120,31,Trade-Promo,1355,12,11675
121,88,Digital-Search,683,10,7623
122,35,In-store,485,1,821
123,18,Digital-Search,326,10,6486
124,80,In-store,657,11,9314
125,63,Digital-Social,756,0,756
126,7,Trade-Promo,145,2,653
127,37,Digital-Search,356,11,6934
128,94,TV,576,1,880
129,2,In-store,544,5,3444
130,40,In-store,860,7,6901
131,5,Digital-Search,264,12,3852
132,8,Digital-Search,903,1,1609
133,61,Digital-Social,493,4,2653
134,2,TV,609,6,4227
135,32,OOH,168,3,2031
136,95,TV,1167,10,4797
137,61,In-store,1495,4,3415
138,21,OOH,186,11,8018
139,67,TV,618,7,6239
140,39,Digital-Social,838,0,838
141,28,TV,583,10,6523
142,42,TV,442,12,5626
143,75,TV,910,12,5686
144,2,TV,1290,12,11574
145,61,OOH,1321,2,2381
146,99,TV,609,2,1931
147,12,OOH,1366,5,5316
148,8,TV,828,10,3898
149,90,Trade-Promo,319,2,1617
150,30,Digital-Search,1243,12,10963
151,97,Digital-Search,998,11,4815
152,3,OOH,873,5,5328
153,18,Digital-Search,180,7,6291
154,57,Trade-Promo,703,8,7607
155,63,Digital-Social,1260,2,2672
156,45,Digital-Search,1059,4,4111
157,71,Digital-Social,241,8,2705
158,58,Digital-Search,639,8,4839
159,59,TV,1406,8,5710
160,94,Digital-Social,138,9,4836
161,100,Trade-Promo,589,5,5029
162,9,OOH,1203,6,3267
163,68,OOH,1118,12,9686
164,20,Trade-Promo,679,5,3524
165,83,Digital-Search,326,1,1011
166,85,TV,189,2,853
167,5,Digital-Social,319,7,2741
168,13,TV,1269,10,6739
169,85,In-store,1176,9,8988
170,76,Digital-Search,200,5,2080
171,78,OOH,245,0,245
172,84,In-store,263,7,5891
173,8,Digital-Search,1242,11,7567
174,48,OOH,219,9,4017
175,68,TV,244,4,1160
176,28,Trade-Promo,298,1,1190
177,30,Trade-Promo,889,3,1930
178,68,OOH,609,9,7719
179,23,Trade-Promo,1243,6,2791
180,99,OOH,1280,5,5480
181,59,OOH,1462,6,2998
182,22,Digital-Social,1226,6,5222
183,44,OOH,423,8,6535
184,57,Digital-Search,745,8,4601
185,48,In-store,1396,6,6754
186,42,Trade-Promo,592,9,6964
187,28,In-store,1226,11,5736
188,47,In-store,1016,6,1916
189,93,TV,682,9,2176
190,67,Digital-Social,718,0,718
191,29,Digital-Social,744,0,744
192,36,Trade-Promo,1147,8,7019
193,74,Digital-Social,293,0,293
194,46,Digital-Social,383,4,2483
195,75,Digital-Social,577,4,2405
196,12,Trade-Promo,918,9,4266
197,94,TV,764,12,8492
198,23,In-store,1280,1,2039
199,83,Digital-Search,176,11,8316
200,49,TV,214,12,6118
201,45,In-store,953,1,1335
202,96,OOH,1333,0,1333
203,100,OOH,883,0,883
204,68,TV,753,8,6577
205,20,Digital-Search,1128,11,5264
206,20,TV,1479,11,7551
207,58,Trade-Promo,1278,8,3214
208,29,In-store,693,12,7329
209,19,Digital-Social,788,1,1425
210,74,OOH,200,8,4664
211,34,TV,916,8,5668
212,100,OOH,367,12,3823
213,62,Trade-Promo,505,7,4383
214,84,Trade-Promo,501,8,6741
215,95,Trade-Promo,604,3,1273
216,35,In-store,762,10,8152
217,12,TV,1475,6,4973
218,47,Digital-Search,490,5,3000
219,77,OOH,149,12,5693
220,22,Digital-Search,1362,12,8586
221,80,Digital-Social,1002,0,1002
222,26,OOH,865,2,2655
223,11,TV,211,3,2566
224,19,Digital-Search,128,5,4428
225,15,Digital-Search,1021,7,2232
226,43,Digital-Social,1201,3,2275
227,70,Trade-Promo,629,8,5781
228,80,OOH,389,11,9904
229,86,TV,871,9,8332
230,68,TV,623,2,1045
231,37,Digital-Social,1365,4,2181
232,60,OOH,117,1,664
233,85,Digital-Search,1457,10,6637
234,14,TV,699,10,6149
235,30,In-store,1141,11,3902
236,41,In-store,1322,8,3242
237,24,Digital-Social,1125,7,6193
238,92,TV,181,3,2257
239,40,Digital-Search,1103,6,2963
240,3,Digital-Search,820,5,4770
241,39,Digital-Social,1126,4,1978
242,81,Digital-Search,892,0,892
243,36,Digital-Social,410,5,3170
244,85,Digital-Social,279,11,6230
245,67,OOH,1354,10,9874
246,30,In-store,592,9,3346
247,55,Digital-Search,1339,5,4384
248,70,Digital-Social,523,10,3433
249,75,Trade-Promo,1500,12,5784
250,18,Digital-Search,1172,2,2352
251,99,Digital-Social,1443,9,4242
252,41,TV,1241,8,8329
253,16,Digital-Social,750,2,2538
254,4,Digital-Search,947,6,3707
255,57,OOH,1404,11,6134
256,20,Digital-Social,318,2,996
257,4,Trade-Promo,1363,4,4443
258,73,Trade-Promo,572,9,4055
259,30,OOH,153,5,1308
260,89,In-store,374,8,6526
261,61,OOH,1430,5,3120
262,50,In-store,1070,2,1704
263,25,Digital-Social,166,6,1156
264,35,In-store,555,11,9762
265,26,Digital-Social,235,2,1433
266,79,In-store,765,7,3579
267,55,In-store,185,9,5036
268,93,Digital-Search,907,9,7522
269,77,Trade-Promo,1175,10,9885
270,5,Trade-Promo,323,7,4642
271,6,Digital-Social,1162,8,5602
272,95,TV,1242,6,5310
273,98,OOH,200,3,1544
274,57,In-store,723,12,6027
275,60,Digital-Social,965,4,4073
276,7,OOH,1158,2,2406
277,83,In-store,285,11,7567
278,15,Digital-Social,1298,11,9097
279,18,In-store,946,5,4001
280,4,Digital-Social,1029,9,8940
281,26,In-store,284,4,2208
282,89,OOH,435,11,10335
283,16,TV,333,11,7043
284,82,Digital-Search,274,8,7266
285,50,OOH,1147,9,3964
286,49,Trade-Promo,879,0,879
287,43,Trade-Promo,1450,2,2082
288,19,Digital-Social,205,6,2995
289,40,OOH,1013,4,4177
290,24,TV,369,3,828
291,80,Digital-Search,125,7,4738
292,64,Trade-Promo,111,9,6006
293,31,Digital-Social,1305,10,7675
294,59,In-store,1004,1,1769
295,77,TV,601,8,4073
296,80,OOH,1241,3,1841
297,24,Digital-Social,212,10,5282
298,5,Digital-Social,166,10,7576
299,78,Digital-Search,778,1,978
300,14,In-store,465,2,2141
301,37,Trade-Promo,1453,11,10979
302,77,Trade-Promo,1251,2,2483
303,96,Trade-Promo,837,0,837
304,99,Digital-Search,761,5,3451
305,9,In-store,1227,1,1676
306,61,Digital-Social,349,11,5090
307,43,Trade-Promo,947,8,3859
308,90,Digital-Social,1353,0,1353
309,74,OOH,1388,8,3300
310,62,OOH,1338,12,11814
311,37,In-store,1346,5,3421
312,68,Trade-Promo,1376,5,2786
313,79,Trade-Promo,1116,8,8284
314,81,In-store,1108,12,5116
315,79,Digital-Social,694,3,1147
316,16,TV,1052,10,3752
317,95,Digital-Social,1360,6,4798
318,6,Digital-Search,816,8,7232
319,28,TV,1411,3,3979
320,37,Digital-Search,238,4,2066
321,65,Trade-Promo,763,12,2635
322,15,OOH,782,5,3557
323,93,Trade-Promo,1361,0,1361
324,25,Digital-Search,792,10,7192
325,61,TV,1422,2,2708
326,20,OOH,1043,8,4987
327,60,In-store,214,8,3862
328,73,OOH,1488,5,5078
329,69,TV,526,9,8185
330,43,Digital-Search,235,2,1109
331,4,Digital-Search,868,10,7838
332,22,Trade-Promo,1340,6,3386
333,77,TV,731,11,5923
334,91,TV,656,6,2084
335,64,Digital-Social,861,7,4074
336,28,Trade-Promo,719,2,1247
337,48,TV,513,1,1117
338,65,TV,1088,8,3544
339,25,Digital-Search,1090,11,8636
340,40,Digital-Search,393,12,3393
341,67,OOH,371,3,3044
342,5,In-store,893,11,8417
343,15,TV,736,0,736
344,77,TV,782,7,2161
345,14,Trade-Promo,1449,11,6608
346,3,Trade-Promo,739,10,4379
347,42,Digital-Social,494,4,2226
348,69,Digital-Search,1003,10,3703
349,35,Digital-Social,422,4,1490
350,2,Trade-Promo,1246,8,3278
351,27,Trade-Promo,817,8,4625
352,35,Digital-Social,680,9,4280
353,22,TV,737,9,5201
354,70,In-store,203,2,561
355,61,OOH,203,1,745
356,7,TV,973,6,2971
357,91,Trade-Promo,1313,10,9873
358,90,In-store,1362,5,3707
359,43,Digital-Social,1473,12,9825
360,11,In-store,1262,2,1752
361,90,In-store,299,7,3568
362,88,OOH,1053,7,3762
363,29,Digital-Social,1363,4,3451
364,51,Digital-Social,1462,5,3872
365,59,In-store,161,1,797
366,15,Digital-Search,1080,7,3348
367,37,Digital-Search,1337,9,3857
368,66,TV,930,11,3779
369,42,Trade-Promo,1430,1,1889
370,69,In-store,920,9,6077
371,31,Trade-Promo,599,8,3095
372,62,In-store,235,5,2050
373,89,Trade-Promo,982,12,8122
374,73,Digital-Search,1215,11,5516
375,23,OOH,1471,1,2349
376,74,In-store,334,9,7174
377,60,Digital-Search,1236,1,1841
378,23,Digital-Search,931,1,1693
379,14,OOH,1321,12,7777
380,42,In-store,1420,10,3540
381,12,Digital-Social,384,9,7593
382,1,Digital-Social,1453,2,2679
383,69,Digital-Search,898,9,7567
384,58,Digital-Social,521,10,5261
385,39,Trade-Promo,1491,4,3871
386,92,Digital-Search,282,9,1704
387,79,Trade-Promo,927,2,1829
388,8,Digital-Search,1224,0,1224
389,91,Trade-Promo,835,1,1273
390,4,Digital-Social,984,11,9278
391,51,OOH,751,11,6702
392,52,In-store,991,8,3919
393,85,Digital-Social,1072,2,1756
394,72,In-store,837,6,2679
395,37,OOH,357,2,679
396,10,OOH,132,2,1908
397,63,OOH,994,2,1466
398,18,OOH,951,7,6985
399,78,In-store,1376,2,2606
400,66,In-store,1230,7,5031
401,46,Digital-Social,480,6,5094
402,1,Trade-Promo,1120,11,5432
403,92,Trade-Promo,651,6,4905
404,74,Digital-Search,168,0,168
405,62,OOH,854,1,1598
406,62,OOH,263,2,2057
407,94,Trade-Promo,672,7,5425
408,11,Trade-Promo,1349,1,1750
409,61,OOH,1459,10,3749
410,88,OOH,1204,12,10120
411,40,Trade-Promo,208,5,3693
412,100,TV,1060,7,5778
413,61,Trade-Promo,778,6,3844
414,38,Digital-Search,443,0,443
415,77,OOH,722,11,8719
416,34,TV,1388,7,6582
417,22,Trade-Promo,205,10,4685
418,95,Trade-Promo,155,4,2739
419,11,Digital-Social,1135,1,1569
420,33,Digital-Social,1361,4,3085
421,33,TV,328,9,3280
422,76,OOH,409,10,6479
423,48,Digital-Social,635,12,11039
424,31,In-store,470,12,8750
425,5,Digital-Search,272,2,1790
426,20,In-store,945,12,7449
427,31,OOH,1001,11,9823
428,22,Digital-Social,1283,11,6816
429,7,OOH,641,12,3857
430,7,Digital-Social,1050,6,4872
431,39,In-store,1190,3,2804
432,88,OOH,898,7,3824
433,19,Trade-Promo,990,0,990
434,58,In-store,1489,5,4949
435,88,TV,299,8,6715
436,46,In-store,1350,10,5640
437,43,Digital-Search,646,12,3646
438,33,OOH,1296,6,5028
439,99,OOH,595,11,9813
440,76,Digital-Social,1164,5,5379
441,89,Digital-Social,741,8,2021
442,87,TV,239,0,239
443,13,Trade-Promo,312,10,6372
444,45,Digital-Social,680,4,2068
445,5,TV,1368,1,1576
446,77,OOH,544,9,7771
447,16,OOH,345,1,1114
448,17,In-store,1444,12,11200
449,73,Digital-Social,327,11,4045
450,33,Digital-Search,1056,10,3326
451,82,In-store,666,12,7710
452,89,OOH,762,4,2022
453,100,TV,667,12,3223
454,49,In-store,781,0,781
455,34,Digital-Social,1002,1,1655
456,26,Trade-Promo,904,2,2524
457,63,TV,394,8,5122
458,28,Trade-Promo,1417,1,2019
459,92,Digital-Search,311,0,311
460,10,Trade-Promo,613,12,7885
461,3,In-store,404,10,8454
462,1,TV,1461,6,3993
463,20,OOH,775,6,5203
464,1,Trade-Promo,1104,7,5276
465,52,OOH,243,8,3291
466,1,In-store,1087,1,1817
467,69,Digital-Search,782,10,5382
468,52,TV,1394,10,3814
469,47,Trade-Promo,796,1,1416
470,98,Digital-Search,1426,3,2416
471,71,TV,886,10,4336
472,39,OOH,898,1,1693
473,89,Digital-Search,1096,1,1893
474,57,OOH,488,2,860
475,25,TV,1314,3,3264
476,50,TV,1207,10,5857
477,64,Trade-Promo,1020,0,1020
478,44,TV,791,12,11447
479,6,In-store,342,3,2799
480,86,Trade-Promo,1038,10,8028
481,20,OOH,1286,3,1955
482,5,OOH,389,7,6122
483,3,In-store,1366,0,1366
484,90,OOH,367,0,367
485,81,TV,729,12,3717
486,59,Trade-Promo,449,9,2384
487,14,TV,1118,9,8138
488,29,TV,515,6,3485
489,95,OOH,923,5,2288
490,88,Trade-Promo,1217,2,2175
491,28,TV,1314,2,2300
492,9,TV,660,2,1810
493,22,OOH,857,8,3401
494,57,Digital-Social,1291,0,1291
495,13,OOH,1354,6,3220
496,3,In-store,265,0,265
497,23,TV,1434,9,5394
498,54,OOH,1074,11,4143
499,27,Digital-Social,1410,4,4150
500,58,In-store,589,2,2139
501,89,TV,1321,2,3089
502,64,Trade-Promo,280,10,4860
503,45,In-store,109,8,3237
504,25,TV,1185,1,1968
505,47,Trade-Promo,1139,3,3014
506,99,OOH,1450,3,2749
507,7,Digital-Social,330,12,3954
508,88,In-store,1118,2,1744
509,86,TV,210,10,5430
510,37,Digital-Social,990,4,2958
511,79,In-store,188,1,391
512,69,Digital-Social,423,12,2571
513,63,Trade-Promo,337,1,727
514,93,In-store,1313,9,5660
515,54,Digital-Social,1486,5,3411
516,100,TV,767,3,1517
517,31,OOH,944,3,2546
518,29,TV,1064,9,6878
519,7,In-store,396,3,2718
520,59,Digital-Social,893,5,2338
521,59,OOH,497,10,5667
522,35,Digital-Social,787,2,1151
523,89,Trade-Promo,222,4,1378
524,15,In-store,1039,6,2989
525,98,Digital-Search,550,4,3622
526,21,OOH,1352,2,2834
527,71,Digital-Social,277,6,4381
528,63,Digital-Social,1311,7,5672
529,36,TV,976,11,5398
530,32,Digital-Search,989,9,4382
531,76,Digital-Social,1274,0,1274
532,6,TV,1063,11,8389
533,5,In-store,1187,6,5027
534,90,TV,1026,7,3798
535,11,Trade-Promo,125,11,10014
536,53,Digital-Social,371,5,2631
537,31,OOH,285,0,285
538,86,Digital-Search,431,11,7251
539,74,OOH,1295,0,1295
540,60,Digital-Social,930,2,1988
541,81,In-store,1397,0,1397
542,10,In-store,781,8,2245
543,38,In-store,652,11,9199
544,70,Trade-Promo,524,12,10736
545,11,Trade-Promo,787,11,3053
546,66,OOH,845,0,845
547,50,Digital-Search,1053,9,2772
548,47,Digital-Search,458,10,7678
549,91,TV,1248,11,5197
550,18,Digital-Search,588,8,2716
551,84,In-store,1288,11,5292
552,97,OOH,561,5,3116
553,35,Trade-Promo,1493,6,4091
554,7,TV,863,5,3928
555,63,Trade-Promo,1178,1,1809
556,91,Trade-Promo,1489,8,5081
557,58,Trade-Promo,853,12,10921
558,89,TV,485,7,2158
559,11,In-store,466,4,1378
560,14,Digital-Social,665,1,1528
561,19,In-store,408,3,2457
562,81,TV,700,6,5788
563,70,Digital-Social,1070,5,3970
564,57,OOH,1420,0,1420
565,25,TV,145,12,4789
566,67,OOH,787,6,5239
567,44,OOH,1423,12,7231
568,63,Trade-Promo,1463,11,9075
569,71,In-store,1037,4,3957
570,17,Digital-Search,451,12,5443
571,30,In-store,861,4,1653
572,19,Digital-Search,682,7,2922
573,80,Digital-Social,1196,4,2540
574,23,OOH,1464,12,5148
575,21,Digital-Social,339,0,339
576,74,Digital-Social,1002,4,3114
577,24,Digital-Social,1251,11,3286
578,86,Digital-Search,804,2,1866
579,58,Trade-Promo,432,8,4096
580,16,TV,928,7,3014
581,59,Digital-Search,419,0,419
582,65,Digital-Search,1425,11,6397
583,61,Digital-Search,1274,10,4274
584,73,OOH,1005,5,5280
585,15,OOH,1080,0,1080
586,87,Trade-Promo,339,4,1039
587,52,Trade-Promo,551,7,4156
588,12,Digital-Search,212,9,7466
589,25,Trade-Promo,1178,3,2480
590,26,TV,271,8,5119
591,87,OOH,278,8,4702
592,25,In-store,750,9,7671
593,66,TV,1465,5,4250
594,19,OOH,975,5,3700
595,48,TV,682,5,3227
596,40,In-store,1248,1,1618
597,94,In-store,951,12,8187
598,37,Digital-Social,968,11,7282
599,18,Trade-Promo,1324,1,1621
600,27,Digital-Search,1072,8,5016
601,9,Trade-Promo,869,1,1025
602,53,OOH,659,6,2633
603,72,In-store,1263,12,4743
604,26,Digital-Social,881,4,3749
605,63,TV,718,9,4867
606,64,Trade-Promo,1049,3,1580
607,1,Digital-Social,637,4,3857
608,82,In-store,354,10,8664
609,37,In-store,467,7,6445
610,83,Digital-Social,158,1,591
611,64,TV,1326,11,7046
612,75,In-store,1258,6,3742
613,81,OOH,1074,11,4066
614,48,Trade-Promo,1278,0,1278
615,21,Trade-Promo,219,2,1173
616,60,OOH,377,5,1962
617,7,Digital-Search,839,6,5645
618,46,TV,693,4,3461
619,82,TV,1152,3,3531
620,24,TV,1326,12,5178
621,70,Digital-Search,747,10,5327
622,35,OOH,842,1,1539
623,75,Digital-Search,394,0,394
624,67,Digital-Search,863,12,8615
625,53,Digital-Search,433,1,806
626,20,Trade-Promo,552,3,2718
627,79,OOH,1176,8,8208
628,71,OOH,333,6,4059
629,10,TV,368,0,368
630,45,Digital-Search,842,2,2046
631,77,Trade-Promo,800,2,2552
632,39,TV,342,3,1185
633,89,Digital-Social,564,4,1676
634,27,Digital-Social,260,6,5402
635,98,TV,259,0,259
636,97,In-store,187,3,967
637,5,OOH,1151,9,3041
638,61,TV,618,0,618
639,39,OOH,121,12,3097
640,16,Trade-Promo,520,9,3706
641,24,OOH,819,0,819
642,19,OOH,668,9,5222
643,46,Digital-Social,1125,12,11877
644,79,Digital-Social,1134,9,3105
645,13,Trade-Promo,128,8,3104
646,92,Digital-Social,677,2,2077
647,1,OOH,302,3,2300
648,91,In-store,850,11,9133
649,24,In-store,1479,1,1814
650,46,In-store,968,3,2996
651,30,In-store,331,12,5983
652,16,In-store,325,8,2637
653,64,Digital-Search,690,8,7802
654,6,TV,771,7,2647
655,50,Digital-Search,1035,9,5256
656,88,In-store,562,8,5098
657,38,In-store,486,1,1123
658,87,Digital-Search,467,0,467
659,63,OOH,315,6,3903
660,67,OOH,1485,1,1757
661,19,In-store,920,11,9214
662,14,OOH,445,1,967
663,26,Digital-Search,510,9,5577
664,16,Digital-Social,969,11,8240
665,36,OOH,1291,9,5152
666,97,OOH,919,5,4104
667,86,Trade-Promo,928,7,5639
668,36,Digital-Social,1031,1,1306
669,33,In-store,1118,3,3497
670,18,TV,303,11,2547
671,9,In-store,1488,0,1488
672,49,Trade-Promo,1491,5,3021
673,39,Trade-Promo,1376,1,1604
674,85,Trade-Promo,1108,12,8632
675,26,Digital-Search,1455,7,6019
676,65,Digital-Search,1210,5,4725
677,70,TV,164,6,1790
678,50,In-store,744,6,4362
679,59,TV,167,2,1607
680,85,Digital-Search,436,7,4573
681,18,Digital-Search,896,7,2730
682,73,OOH,1104,10,8274
683,88,Trade-Promo,1271,7,5730
684,72,Digital-Social,1137,0,1137
685,34,In-store,1310,6,5996
686,87,Digital-Search,682,5,1742
687,4,Trade-Promo,192,2,1242
688,45,OOH,1295,0,1295
689,44,In-store,299,6,3317
690,46,In-store,819,0,819
691,32,Digital-Social,580,10,5270
692,76,TV,234,4,1302
693,44,Digital-Social,140,8,4004
694,5,In-store,1447,6,5833
695,66,In-store,646,0,646
696,61,Trade-Promo,145,5,2825
697,74,In-store,760,9,3010
698,63,TV,1482,3,2964
699,64,Trade-Promo,1466,5,3066
700,79,Digital-Search,844,6,2980
701,64,OOH,254,8,3206
702,37,Digital-Search,197,4,3145
703,52,Digital-Social,1379,11,4063
704,92,Trade-Promo,294,9,4740
705,35,TV,1260,12,9576
706,61,In-store,529,5,1669
707,84,Digital-Search,1133,12,6617
708,56,OOH,1205,5,2975
709,54,In-store,614,9,6707
710,59,OOH,1221,2,1559
711,81,OOH,1157,2,2637
712,64,Digital-Social,1453,11,8361
713,35,OOH,1191,12,10539
714,99,In-store,1259,11,9960
715,8,Trade-Promo,510,5,3625
716,19,Digital-Social,408,11,9769
717,98,Digital-Search,991,6,3847
718,9,OOH,516,6,3054
719,37,OOH,428,4,3840
720,77,Digital-Social,931,3,1729
721,20,Digital-Social,156,3,1557
722,60,In-store,1246,6,4738
723,83,TV,513,2,1371
724,18,TV,629,12,5837
725,85,Trade-Promo,460,10,2390
726,93,In-store,140,0,140
727,41,Trade-Promo,710,1,1276
728,47,OOH,1446,1,2002
729,93,Digital-Social,583,1,1317
730,95,Trade-Promo,347,8,6987
731,75,Trade-Promo,615,7,2309
732,31,Trade-Promo,350,12,5990
733,43,Trade-Promo,898,12,5590
734,55,Digital-Social,395,1,724
735,28,Digital-Search,1000,6,3460
736,76,TV,1104,8,5368
737,90,TV,748,8,5412
738,61,OOH,604,4,1796
739,47,In-store,853,4,1537
740,83,Trade-Promo,171,11,9279
741,7,OOH,1475,3,2702
742,71,In-store,733,10,9403
743,47,OOH,349,8,3485
744,57,In-store,116,6,2582
745,39,TV,582,4,2042
746,21,In-store,1393,5,5438
747,53,TV,661,1,1314
748,61,OOH,945,5,5365
749,55,TV,428,11,5015
750,65,TV,820,6,5416
751,94,Trade-Promo,769,7,6796
752,4,TV,1413,10,4793
753,81,In-store,1412,2,1718
754,52,Digital-Social,1386,4,3270
755,74,TV,326,2,1136
756,67,OOH,1429,12,4825
757,77,OOH,940,12,6664
758,58,In-store,373,4,1681
759,88,Trade-Promo,770,12,6026
760,26,TV,948,5,2628
761,51,In-store,1268,3,1781
762,3,Trade-Promo,1425,9,8544
763,30,TV,1047,3,2301
764,90,Digital-Social,201,6,4893
765,55,Trade-Promo,632,2,1114
766,48,Digital-Social,1261,1,1425
767,92,Trade-Promo,991,12,8359
768,87,In-store,342,3,2982
769,27,Digital-Social,645,4,3269
770,49,Digital-Social,983,3,3275
771,28,Digital-Search,1486,3,3220
772,24,In-store,398,0,398
773,34,Digital-Social,1365,7,4193
774,48,Trade-Promo,1425,7,3084
775,2,In-store,372,5,4667
776,51,OOH,534,11,6496
777,91,In-store,1323,4,2219
778,13,Trade-Promo,220,0,220
779,31,In-store,825,9,8349
780,77,OOH,193,0,193
781,65,Trade-Promo,880,4,3096
782,86,Digital-Search,370,8,1906
783,75,Digital-Social,633,2,1963
784,64,Digital-Search,1058,2,1540
785,41,OOH,1186,6,2956
786,34,TV,741,0,741
787,64,Digital-Search,838,6,3472
788,34,Trade-Promo,640,8,4400
789,56,Digital-Social,746,11,7929
790,98,Digital-Social,1238,10,9248
791,57,TV,486,2,896
792,30,Digital-Social,173,7,3085
793,21,OOH,1056,6,2664
794,64,TV,1004,5,5384
795,72,In-store,1037,7,2892
796,93,Digital-Social,353,5,1578
797,27,Digital-Search,469,2,1809
798,35,Trade-Promo,1458,9,4761
799,75,TV,1177,12,9985
800,24,In-store,257,3,2237
801,87,TV,773,0,773
802,88,OOH,349,6,3541
803,76,TV,762,2,1120
804,11,In-store,1450,7,5748
805,81,Digital-Search,1316,10,2866
806,43,TV,1443,9,6960
807,42,OOH,1265,2,1997
808,7,OOH,679,5,1709
809,96,TV,1220,9,6080
810,12,In-store,622,2,1412
811,99,In-store,282,0,282
812,21,In-store,924,4,4172
813,97,OOH,415,1,870
814,63,In-store,735,10,8405
815,17,Digital-Search,1462,1,1988
816,66,Digital-Social,1102,7,4931
817,61,Digital-Search,1253,9,6500
818,12,In-store,854,9,3914
819,56,OOH,972,1,1163
820,66,Digital-Search,1049,10,4839
821,83,OOH,417,7,5240
822,81,OOH,1174,1,1621
823,60,In-store,262,12,7930
824,39,Digital-Social,361,10,4931
825,32,Trade-Promo,975,4,3903
826,7,Trade-Promo,256,0,256
827,14,Trade-Promo,970,6,2446
828,60,OOH,1264,4,3316
829,33,Trade-Promo,267,12,8247
830,3,TV,1454,7,3785
831,24,In-store,192,1,768
